author	bookid	bpoids	genres	htrcids	subjects	title
Boswell James	B1189	{6116216, 6104457, 5809206, 6143909, 6179398}		{'nyp.33433082377494'}		The life of Samuel Johnson LL 
Agate James	B119	{3227196}		{'uc1.$b299542'}		Gemel in London
Bailey H C Henry Christopher	B1190	{3220652}		{'mdp.39015063525623'}		Mr Fortune objects
Bailey H C Henry Christopher	B1191	{3220652}		{'mdp.39015063525615'}		Mr Fortune wonders
Brundage Elizabeth	B1192	{9447034}	{'Domestic fiction', 'Suspense fiction'}	{'inu.30000094854878'}		The doctors wife
Burrows E Mrs	B1193	{8660748, 8648452}		{'mdp.39015021933646'}		Household proverbs or Tracts f
Bunyan John	B1194	{9414415}	{'Bibliographies', 'Dialogues', 'Christian fiction'}	{'njp.32101035583291'}		The life and death of Mr Badma
Bates H E Herbert Ernest	B1195	{3188530}		{'uc1.b3346191'}		The story without an end  and 
Braddon M E Mary Elizabeth	B1196	{9447238}		{'umn.31951002284729z'}		Lady Audleys secret  a novel
Bottrell William	B1197	{6662006}		{'nnc1.1000341738'}		Traditions and hearthside stor
Bullen Frank Thomas	B1198	{9414628}		{'uc1.b3810846'}		Deepsea plunderings a collecti
Brooks Shirley	B1199	{8707249, 8646837, 8857654, 4455143}		{'uc1.b3321956'}		The Gordian knot  a story of g
Asbjørnsen Peter Christen	B12	{8717428}		{'mdp.39015002327750'}	{'Fairy tales', 'Norway', 'Folklore'}	Round the Yule log Norwegian folk  fairy tales
Armstrong Martin Donisthorpe	B120	{3220736}		{'uc1.$b299593'}		Saint Christophers day
Barry William Francis	B1200	{6432914}		{'nyp.33433075786040'}		The new Antigone  a romance
BaringGould S Sabine	B1201	{6662468}		{'uc2.ark+=13960=t2r49tx9b'}		Yorkshire oddities incidents a
Bowering George	B1202	{9087586, 9104510}		{'mdp.39015032180138'}		The rain barrel and other stor
Boothby Guy Newell	B1203	{6793905}		{'nyp.33433074940499'}		The mystery of the clasped han
Bennett Arnold	B1204	{9022371}		{'nyp.33433074926571'}		Teresa of Watling street  a fa
Brontë Charlotte	B1205	{4991985, 4618505, 4337431}	{'Bibliographies'}	{'uc1.b4713111'}		A Brontë  Tenant of Wildfell H
Brontë Charlotte	B1206	{4991985, 4618505, 4337431}	{'Biography'}	{'wu.89001262906', 'wu.89001262898'}		The tenant of Wildfell hall by
Bennett Charles H Charles Henry	B1207	{8629596}	{'Juvenile audience'}	{'nyp.33433068197874'}		The fables of Aesop and others
Bilby Julian W	B1208	{3222996}		{'wu.89058279688'}		Nanook of the North  with 29 p
Black William	B1209	{8793949}		{'njp.32101067706976'}		Monarch of Mincing Lane Green 
Armstrong Martin Donisthorpe	B121	{2449500}		{'uc1.$b299594'}		The sleeping fury
Barr Robert	B1210	{8859985, 6736823}		{'nyp.33433074932298'}		The mutable many A novel
Baronne d Oberkirch Henriette Louise von Waldner	B1211	{9006631, 4993606, 9452735}		{'njp.32101073593145'}		Memoirs of the Baroness dOberk
Bird Robert Montgomery	B1212	{8893062}		{'wu.89099908337', 'wu.89099908345'}		Calavar or The knight of the c
Bindloss Harold	B1213	{8893360}		{'nyp.33433074939582'}		The lure of the North
Barbauld Anna Letitia Mrs	B1214	{5157956}	{'Anthologies', 'Juvenile audience'}	{'njp.32101068138005'}		A legacy for young ladies  con
Bandinel James	B1215	{9590952, 6173820}		{'nnc1.1002230933', 'nnc1.1002230984'}		Milton Davenant  a tale of the
Besant Walter Sir	B1216	{8631521}		{'uiuo.ark+=13960=t5k93g04d', 'uiuo.ark+=13960=t2m61s93c', 'uiuo.ark+=13960=t3rv0tn8c'}		The ten years tenant
Besant Walter Sir	B1217	{8631521}		{'uc1.b3321698'}		The ten years tenant  and othe
Bremer Fredrika	B1218	{8402234}		{'wu.89099912115'}		Strife and peace or scenes in 
Beasley	B1219	{8928970, 5813611}		{'uc2.ark+=13960=t70v8gw0t', 'uc1.b3325536'}		Violet or The danseuse a portr
Aumonier Stacy	B122	{2445400}		{'uc1.$b299603'}		Miss Bracegirdle and others
Blackmore R D Richard Dooddridge	B1220	{8533490}		{'inu.32000001359092'}		Cripps the carrier A woodland 
Bird Robert Montgomery	B1221	{8304225}		{'uc1.b3325368'}		The infidel or the fall of Mex
Broughton Rhoda	B1222	{6239872, 3170836, 8840956}		{'uva.x001132252'}		Dear Faustina A novel
Belfast Frederick Richard Chichester	B1223	{9025299, 8502038}		{'uiuo.ark+=13960=t6h13b63v', 'uiuo.ark+=13960=t87h1wq97'}		Two generations or Birth paren
Bronikowski Alexander	B1224	{4700022, 8255871}		{'hvd.hwdrnh', 'hvd.hwdrng'}		The court of Sigismund Augustu
Bainbridge William	B1225	{8763283}		{'nnc1.cu58504877'}		The day after tomorrow  or Fat
Broughton Rhoda	B1226	{8665017}	{'Love stories'}	{'mdp.39015009119143'}		Cometh up as a flower  is the 
Broughton Rhoda	B1227	{8665017}		{'uc1.b3321961', 'uc1.b3321960'}		Cometh up as a flower  an auto
Becke Louis	B1228	{8834882, 3160070}		{'mdp.39015029172957'}		A first fleet family A hithert
Buchan John	B1229	{6671017, 6797373, 3275181}		{'njp.32101013458979'}		The watcher by the threshold a
Alington Argentine Francis	B123	{2490460}		{'uc1.$b56289'}		Gentlemen  the regiment
Buchan John	B1230	{3225691, 2454636}		{'mdp.39015002269937'}		The house of the four winds
Bright Robert	B1231	{3193001, 8940503}		{'uc1.$b86158'}		The spirit of the chase
Brady Cyrus Townsend	B1232	{8895059}		{'uc1.b3322028'}		A little traitor to the South 
Blackford Martha Mrs	B1233	{5159747}	{'Juvenile audience'}	{'nyp.33433074939905'}		The Scottish orphans a moral t
Brougham and Vaux Henry Brougham	B1234	{4963200}		{'uc1.b3337055', 'uc1.b3337056', 'uc1.b3337057'}		Albert Lunel or The château o
Bianco Margery Williams	B1235	{3226497}	{'Juvenile audience'}	{'ucw.ark+=13960=t8tb1g53r'}		The velveteen rabbit or how to
Becke Louis	B1236	{6798389}		{'uc1.b4669509'}		Tom Wallis a tale of the South
Black William	B1237	{8673696, 8502457, 4384134}		{'njp.32101066164987'}		In silk attire
Black William	B1238	{8673696, 8502457, 4384134}		{'njp.32101067706950'}		In silk attire Macleod of Dave
Boyle Mary Louisa	B1239	{4701447}		{'njp.32101067630192'}		The state prisoner  a tale of 
Ainsworth William Harrison	B124	{3153973}	{'Bibliographies'}	{'uc1.$b567299', 'uc1.$b567300'}	{'1537-1554', 'Grey, Jane', 'Lady'}	The Tower of London
Brydges Egerton Sir	B1240	{8208144}		{'uc2.ark+=13960=t84j0kq44'}		Sir Ralph Willoughby
Brydges Egerton Sir	B1241	{8208144}		{'nyp.33433074931183'}		Sir Ralph Willoughby an histor
Bennett William 17961879	B1242	{8273752}		{'inu.30000008561643'}		Malpas  or Le poursuivant damo
Briscoe	B1243	{6176712}		{'uiuo.ark+=13960=t6h13973w', 'uiuo.ark+=13960=t0js9xt6x', 'uiuo.ark+=13960=t9765rp3x'}		The young bride A novel
Bacchelli Riccardo	B1244	{3326274}		{'uc1.b5095441'}		The devil at the Long bridge a
Bremer Fredrika	B1245	{4964682}		{'hvd.hwlbpm'}		Life in Dalecarlia  the parson
Butler William	B1246	{2441638}		{'uc1.$b146915'}		The house at Akiya
Barrie J M James Matthew	B1247	{3228357}		{'mdp.39015030702370'}		Farewell Miss Julie Logan a wi
Bickerdyke John	B1248	{6801286}		{'nyp.33433074942875'}		The passing of Prince Rozan a 
Bennett Arnold	B1249	{8898722}		{'uc1.b3796889'}		Helen with the high hand an id
Austen Jane	B125	{2447096}		{'uc1.$b685839'}		The Watsons
Banim John	B1250	{5268184, 8669429}		{'nyp.33433074955489', 'wu.89087923314', 'wu.89087923348'}		Tales by the OHara family  sec
Brunner Emma Beatrice	B1251	{3230340}		{'uc1.$b299701'}		My wife poor wretch  uncensore
BaitālPachīsī	B1252	{3172530, 6650381, 8800903}		{'mdp.39015019958241'}		Vikram and the vampire or Tale
Beck Edward	B1253	{8997521, 5166457}		{'uc1.$b271263'}		A packet of seeds saved by an 
Beaton Patrick	B1254	{9456465}		{'uiuo.ark+=13960=t3ws8z52f', 'uiuo.ark+=13960=t67371w1v', 'uiuo.ark+=13960=t05x2kt1p'}		Marion Leslie
Blackford Martha Mrs	B1255	{5163923}	{'Juvenile audience'}	{'nyp.33433082300124'}		The Eskdale herdboy  a Scottis
Boccaccio Giovanni	B1256	{8867185}		{'uc1.32106005941700', 'uc1.$b243734'}		The Decameron of Giovanni Bocc
Bowdich Sarah	B1257	{4705754}		{'hvd.32044009812777'}		The juvenile album or tales fr
Brady Cyrus Townsend	B1258	{3198556}		{'nyp.33433074797931'}		The more excellent way  being 
Bodkin M McDonnell Matthias McDonnell	B1259	{8845026, 6780349, 3165829}		{'njp.32101066455260'}		Lord Edward Fitzgerald a histo
Adams Samuel Hopkins	B126	{3232115}		{'uc1.$b71369'}		The flagrant years  a novel of the beauty market
Baron Charnwood Godfrey Rathbone Benson	B1260	{8867778, 6839980}		{'njp.32101063605693'}		Tracks in the snow being the h
Black William	B1261	{8671756}		{'uc1.b3321894'}		Mr Pisistratus Brown MP in the
Bremer Fredrika	B1262	{4444958}		{'nyp.33433075775258'}		The home or Family cares and f
Bleek W H I Wilhelm Heinrich Immanuel	B1263	{9429825, 8475574}		{'inu.39000005917807'}		Reynard the fox in South Afric
Berkeley Reginald	B1264	{3298308}		{'nyp.33433074939277'}		The oilskin packet  a tale of 
Bjørnson Bjørnstjerne	B1265	{8673083}		{'mdp.39015030205366'}		The happy boy a tale of Norweg
Bunbury Selina	B1266	{8607660}		{'umn.31951001417012t'}		Life in Sweden with excursions
Batty Beatrice	B1267	{8640527}		{'nyp.33433074936752'}		An English girls account of a 
Burnett Frances Hodgson	B1268	{8968211}	"{""Publishers' cloth bindings (Binding)"", 'New York (State)', 'New York', 'Historical fiction'}"	{'coo.31924021965714'}		A lady of quality being a most
Burnett Frances Hodgson	B1269	{3168402}	{'Juvenile audience'}	{'uc1.b4517751'}		Two little pilgrims progress  
Arnac Marcel	B127	{3210841}		{'uc1.$b80835'}		Three of a kind
Barlow Jane	B1270	{6641829}		{'nyp.33433074936315'}		Strangers at Lisconnel  A seco
Bailey James M James Montgomery	B1271	{8706457}		{'nyp.33433074814363'}		Life in Danbury being a brief 
Bullock Shan F	B1272	{8903311}		{'nyp.33433074938790'}		Robert Thorne the story of a L
Bourne George	B1273	{6118478}		{'nyp.33433068297393'}		Lorette The history of Louise 
Bernhard Carl	B1274	{4414706}		{'njp.32101062729262', 'njp.32101062729254'}		The Queen of Denmark  an histo
Barr Amelia Edith Huddleston	B1275	{6807513, 8878604}		{'nyp.33433074833421'}		The maid of Maiden lane a sequ
Barclay Florence L Florence Louisa	B1276	{6840335}		{'njp.32101045291570'}		Through the postern gate a rom
Braddon M E Mary Elizabeth	B1277	{8511519}		{'coo.31924064973526'}		Fentons quest a novel
Barber Margaret Fairless	B1278	{6808135}		{'mdp.39015063914835'}		The grey brethren and other fr
Bungener Félix	B1279	{5005941}		{'njp.32101072915547'}		France before the revolution o
Allen James Lane	B128	{3198721, 6856684}		{'uc1.b3322221'}		The heroine in bronze  or A portrait of a girl  a pastoral of the city
Belloc Hilaire	B1280	{6840975}		{'loc.ark+=13960=t6qz2tt40'}		The four men
Brock Carey Mrs	B1281	{9462590}		{'uc1.$b296184', 'uva.x030808579'}		Sunday echoes in weekday hours
Brady Cyrus Townsend	B1282	{3204358}		{'nyp.33433074797956'}		The island of surprise
Brontë Emily	B1283	{4417176}	{'ContainsBiogMaterial', 'Love stories'}	{'inu.30000094739921', 'mdp.39015011426080'}		Wuthering Heights
Brontë Emily	B1284	{4417176}	{'Bibliographies'}	{'mdp.39015066049357'}		Wuthering Heights an authorita
Brontë Emily	B1285	{4417176}		{'uc1.32106014574567'}		Wuthering Heights Illustrated 
Blagden Isa	B1286	{9463465}		{'coo.31924013435999'}		The woman I loved and the woma
Blessington Marguerite Countess of	B1287	{4974913}		{'uc2.ark+=13960=t2j67bc22'}		The memoirs of a femme de cham
Bateman J C Mrs	B1288	{8485640, 9465368, 4845989}		{'nyp.33433074937008'}		The two families or The power 
Boyd Archibald	B1289	{2551361}		{'njp.32101067630267', 'njp.32101067630259', 'njp.32101067630275'}		The Duchess or Womans love and
Asquith Margot	B129	{3227648}		{'uc1.b3325647'}		Octavia
Boaden James	B1290	{8613599}		{'hvd.32044086797214'}		Man of two lives a narrative w
Benson E F Edward Frederick	B1291	{3305196}		{'uc2.ark+=13960=t78s4rz1s'}		The Countess of Lowndes square
Brough Robert B Robert Barnabas	B1292	{5013016, 8646511}		{'mdp.39015063543816', 'mdp.39015063543824'}		Which is which or Miles Cassid
Black William	B1293	{6746108}		{'uc1.b3321893'}		Magic ink and other tales
Bromby Charles Hamilton	B1294	{9007109}		{'njp.32101077785028'}		Alkibiades a tale of the Great
Bonner Geraldine	B1295	{2453729}		{'uc1.$b247331'}		Taken at the flood  a story in
Blackmore R D Richard Dooddridge	B1296	{9433424}		{'njp.32101067707289', 'njp.32101067707297', 'uc1.b3337052'}		Cradock Nowell  a tale of the 
Barrie J M James Matthew	B1297	{9007679}	{'Juvenile audience', 'Juvenile literature'}	{'uc1.32106001922290'}		The little white bird or Adven
Bryant Dorothy	B1298	{6779570, 8846098}		{'mdp.49015000668039'}		Miss Giardino  a novel
Balfour Frederic Henry	B1299	{8942342}		{'nyp.33433074921044'}		Dr Mirabels theory A psycholog
Alcott Louisa May	B13	{8658809}	{'Juvenile audience', 'Juvenile works'}	{'mdp.39015004168533'}	{'March family (Fictitious characters)', 'Mothers and daughters', 'Juvenile fiction', 'Young women', 'Sisters', 'Families', 'New England'}	Little women or Meg Jo Beth an
Atherton Gertrude Franklin Horn	B130	{8974032}		{'uc1.b3562024'}		Perch of the devil
Brown Oliver Madox	B1300	{6552281, 9237628}		{'mdp.39015005616654', 'mdp.39015005616647'}		The Dwale bluth Hebditchs lega
Barnum Vance	B1301	{3208593}	{'Juvenile audience'}	{'uc1.b2837401'}		Joe Strong the boy wizard  or 
Bacon Josephine Daskam	B1302	{6845882}		{'njp.32101064786781'}		Margaritas soul  the romantic 
Blackford Martha Mrs	B1303	{5076712}		{'njp.32101063578221'}		Arthur Monteith a moral tale f
Bamford Samuel	B1304	{8910572}		{'pst.000023974616'}		Passages in the life of a radi
Burress John	B1305	{3176433}		{'uc1.$b87039'}		Bugle in the wilderness
Brady Cyrus Townsend	B1306	{8976650}		{'nyp.33433074797915'}		The sword hand of Napoleon a r
Begbie Harold	B1307	{3209610}		{'uc1.$b812567'}		The little that is good  stori
Banim John	B1308	{8780768, 6191547}		{'nyp.33433074964937'}		The mayor of Windgap
Bjørnson Bjørnstjerne	B1309	{9435730}		{'mdp.39015030023124'}		Arne A sketch of Norwegian cou
Anderson A J Arthur James	B131	{8934748}		{'uc1.b3573464'}	{'-1504', 'Lippi, Filippino'}	The romance of Fra Filippo Lippi a new version of the love story of the friarartist and the nun Lucrezia
Balzac Honoré de	B1310	{6552330}		{'uc2.ark+=13960=t8v982g7c'}		Droll stories collected from t
Blasco Ibáñez Vicente	B1311	{3210143}		{'mdp.39015027190902'}		The four horsemen of the Apoca
Blackmore R D Richard Dooddridge	B1312	{2719549}		{'nyp.33433074939954'}		Clara Vaughan A novel
Crofts Freeman Wills	B1313	{2445853}	{'Novel'}	{'aeu.ark+=13960=t58d15v1x'}	{'Roman policier anglais', 'Detective and mystery stories, English'}	The pitprop syndicate
Carey Rosa Nouchette	B1314	{8987338, 6811955}		{'coo.31924013453430', 'coo.31924064966785'}		Herb of grace
Carey Rosa Nouchette	B1315	{6672117, 8988950}	{'Novel'}	{'coo.31924013453471', 'coo.31924064966827'}		A passage perilous
Clifford W K Mrs	B1316	{6705446}		{'coo.31924013464296'}		The modern way eight examples
Crockett S R Samuel Rutherford	B1317	{6810086}		{'uc2.ark+=13960=t3st7n823', 'coo.31924013468602'}		Love idylls
Craik Georgiana M Georgiana Marion	B1318	{8508087}		{'coo.31924013523372'}		Esther Hills secret
Castle Agnes	B1319	{3155616, 6779595, 9006792}		{'coo.31924013594621', 'coo.31924065000287'}		The star dreamer
AE	B132	{8902091, 6807270}		{'uc1.b3575928'}		The interpreters
Croker B M Bithia Mary	B1320	{8923932}		{'coo.31924013602895', 'coo.31924057667515'}		The companys servant a romance of southern India
Croker B M Bithia Mary	B1321	{8926300}		{'coo.31924013602929'}		Katherine the arrogant
Croker B M Bithia Mary	B1322	{9500654}		{'coo.31924013602937'}		Lismoyle an experiment in Irel
Crawford F Marion Francis Marion	B1323	{9022971, 3180286}		{'coo.31924021960236', 'coo.31924021960228'}		Whosoever shall offend
Crawford F Marion Francis Marion	B1324	{3162003, 8917181}		{'coo.31924021967033'}		Pietro Ghisleri
Craik Georgiana M Georgiana Marion	B1325	{8516056}		{'coo.31924064984531'}		Without kith or kin
Cervantes Saavedra Miguel de	B1326	{6795168}	{'Romances', 'Picaresque literature', 'Bibliographies', 'Adventure stories'}	{'coo.31924111705111', 'uc1.l0084018282'}	{'Social life and customs', 'Knights and knighthood', 'Spain', '16th century'}	Don Quixote
Croker Marianne Nicholson	B1327	{4710425}		{'hvd.32044004468302'}		The adventures of Barney Mahoney
Chamisso Adelbert von	B1328	{4971214}		{'hvd.32044009867896'}		The wonderful history of Peter Schlemihl
Croker Thomas Crofton	B1329	{5152094}		{'hvd.32044014453831'}	{'Ireland', 'Scotland', 'Legends', 'Mabinogion', 'Folklore'}	Fairy legends and traditions of the South of Ireland
Anstey F	B133	{6799274, 8871793, 3163226, 6803629}	{'Fantasy fiction'}	{'uc1.b3578705'}	{'Jinn'}	The brass bottle
Coleridge Samuel Taylor	B1330	{9347376, 8783112, 6116058}		{'hvd.32044019820299'}		Specimens of the table talk of Samuel Taylor Coleridge
Cunningham J W John William	B1331	{8180318}		{'hvd.32044073555468'}	{'Religion', 'Soul'}	A world without souls
Cooper James Fenimore	B1332	{5161175}	{'Historical fiction', 'War stories', 'Bibliographies', 'Spy stories', 'Domestic fiction'}	{'hvd.32044080902265', 'hvd.32044097914220'}	{'Revolution, 1775-1783', 'History'}	The spy  a tale of the neutral ground
Cooper James Fenimore	B1333	{4970720}		{'hvd.32044097914014', 'hvd.hw3jdp'}	{'Antirent War, N.Y., 1839-1846', '1775-1865', 'History', 'New York (State)'}	Satanstoe or The Littlepage manuscripts
Calabrella E C de	B1334	{8381156}		{'hvd.hnp18s', 'hvd.hnp18q', 'hvd.hnp18r'}		The tempter and the tempted
Cooper James Fenimore	B1335	{8569014}		{'hvd.hwjtbc', 'hvd.hwjtfi'}	{'History', 'Colonial period, ca. 1600-1775'}	The pioneers or The sources of the Susquehanna a descriptive tale
Countess of Blessington Marguerite	B1336	{5155260}		{'hvd.hwjvzr'}		Lady Blessingtons confessions of an elderly lady and gentleman
Chaucer Geoffrey	B1337	{5126264, 4437491}	{'Bibliographies'}	{'hvd.hwkbwa'}		Tales from Chaucer  in prose
Courtney W L William Leonard	B1338	{3198112, 6822667}		{'inu.30000010414443'}		The soul of a suffragette and other stories
Countess of Blessington Marguerite	B1339	{8488208, 8999187, 2854782}		{'inu.30000083748826', 'inu.30000083748834', 'inu.30000083748669'}		Marmaduke Herbert or The fatal error A novel founded on fact
Annixter Paul pseud	B134	{3233593}		{'uc1.b3888663'}	{'Animals', 'Fishes', 'Anecdotes', 'Folklore'}	Wilderness ways
Cable George Washington	B1340	{3162629}	{'Bibliographies'}	{'inu.32000001394248'}		John March southerner
Church Richard	B1341	{2488177, 3236631}		{'inu.32000005558061'}		High summer
Conrad Joseph	B1342	{9423732}	"{'Bookplates (Provenance)', 'Bibliographies', 'ContainsBiogMaterial', ""Publishers' advertisements""}"	{'inu.32000006722369'}	{'Revolutions', 'Sailors'}	Nostromo  a tale of the seaboa
Coppard A E Alfred Edgar	B1343	{3225925}		{'inu.32000009218126'}		Count Stefan
Chesterton G K Gilbert Keith	B1344	{8907261}		{'inu.32000009291495'}	{'London', '(OCoLC)fst00999953', '(OCoLC)fst01319287', 'Notting Hill', 'Literature', '(OCoLC)fst01893847', 'Future, The', 'Future, The, in literature'}	The Napoleon of Notting Hill
Corelli Marie	B1345	{6016556}		{'inu.39000002830466', 'inu.39000002830474'}	{'English fiction'}	The soul of Lilith
Coleridge Mary E Mary Elizabeth	B1346	{3186230, 9023030}		{'inu.39000004065236'}		The shadow on the wall  a romance
Cox George W George William	B1347	{3175543}	{'Juvenile audience'}	{'inu.39000005817486'}	{'Mythology, Classical', 'Juvenile literature'}	Tales of the gods and heroes
Crane Thomas Frederick	B1348	{6714520}	{'Bibliographies'}	{'inu.39000005949453'}	{'Fairy tales', 'Legends', 'Italy'}	Italian popular tales
Claflin Frank F from old catalog	B1349	{8995348}		{'loc.ark+=13960=t9s18gq7c'}		The tragedy of errors
Alarcón Pedro Antonio de	B135	{3224413}		{'uc1.b4065531', 'uiuo.ark+=13960=t7fq9tc84'}		The threecornered hat
Cervantes Saavedra Miguel de	B1350	{8763361}	{'Bibliographies'}	{'mdp.39015002279308', 'uva.x000241464', 'mdp.39015001521627'}		The ingenious knight  Don Quixote de la Mancha
Couperus Louis	B1351	{6871703}		{'mdp.39015002134214'}		Small souls
Céline LouisFerdinand	B1352	{2492073}		{'mdp.39015004926724'}		Journey to the end of the nigh
Cable George Washington	B1353	{6733304}		{'mdp.39015005354504'}	{'History', 'Civil War, 1861-1865'}	Strange true stories of Louisiana
Chekhov Anton Pavlovich	B1354	{8978427, 6893476, 8968197, 2484879}		{'mdp.39015005448843', 'mdp.39015020809144'}		The kiss and other stories
Cutting Mary Stewart Doubleday	B1355	{6693874}		{'mdp.39015007000402'}		Little stories of courtship
Cannon Cornelia James	B1356	{3228476}		{'mdp.39015008146543'}		Red rust
Chekhov Anton Pavlovich	B1357	{6893476, 8968197, 2484879}		{'mdp.39015008829668'}		The grasshopper  and other sto
Craik Dinah Maria Mulock Mrs	B1358	{8631744, 4980357, 9427622}	"{""Publishers' advertisements"", 'NotBiographical', ""Publishers' cloth bindings (Binding)"", 'Bibliographies', 'Novels', 'New York', 'New York (State)'}"	{'mdp.39015010941147'}	{'English fiction'}	John Halifax gentleman
